,Avg_temp,Max_temp,Min_temp,Avg_relative_humidity,Avg_visibility,Avg_wind_speed,Max_wind_speed,PM10
332,24.6,28.8,21.3,80.0,6.9,3.0,7.6,70.52
333,24.8,29.0,21.5,80.0,6.6,3.1,37.0,80.28
334,22.9,27.5,20.5,87.0,5.3,2.4,5.4,48.3
335,22.1,27.6,19.8,93.0,3.7,1.9,9.4,43.58
336,22.3,25.6,19.6,85.0,5.3,6.5,7.6,47.65
337,23.7,29.0,20.1,67.0,6.0,1.3,3.5,191.21
338,24.4,29.8,20.4,67.0,6.3,3.1,7.6,264.19
339,24.8,30.6,20.4,66.0,6.3,3.1,7.6,134.16
340,25.2,31.3,20.8,64.0,6.3,2.4,5.4,123.25
341,23.7,29.6,21.0,68.0,7.7,2.4,5.4,88.81
342,23.9,28.8,20.2,68.0,6.9,2.0,5.4,87.96
343,22.2,26.7,19.4,71.0,6.9,5.6,7.6,93.16
344,21.7,25.0,19.9,78.0,6.9,5.0,7.6,37.3
345,22.9,26.6,18.8,66.0,6.9,3.7,7.6,47.9
346,23.2,27.8,19.3,66.0,6.9,3.1,7.6,107.97
347,21.5,25.6,19.2,87.0,6.9,3.0,5.4,77.33
348,22.0,26.0,18.3,80.0,6.9,2.2,7.6,43.96
349,22.5,27.2,18.6,64.0,6.3,3.9,5.4,99.26
350,23.6,28.2,19.3,65.0,6.3,4.1,7.6,80.35
351,23.5,29.1,19.4,74.0,6.9,0.9,5.4,79.89
352,24.4,28.7,21.0,74.0,6.3,2.0,7.6,77.34
353,24.1,30.0,20.5,71.0,6.3,2.8,5.4,80.84
354,24.2,29.0,20.7,70.0,6.3,3.5,5.4,82.87
355,23.8,29.6,20.2,70.0,6.3,3.9,5.4,48.27
356,22.7,30.0,18.6,65.0,5.8,5.0,7.6,101.56
357,22.2,28.0,17.4,76.0,6.0,4.1,5.4,87.59
358,22.4,26.8,19.2,78.0,6.0,5.0,11.1,75.49
359,19.8,24.7,19.0,95.0,4.0,7.0,9.4,29.86
360,19.8,21.6,18.2,88.0,4.8,7.0,9.4,102.78
361,20.8,23.6,18.3,82.0,6.9,4.6,9.4,86.83
362,22.8,29.2,18.5,63.0,6.3,3.1,7.6,103.2
363,22.6,29.7,15.9,47.0,6.3,0.7,5.4,128.19
364,22.6,30.8,16.8,55.0,6.8,0.0,7.6,133.55
365,22.7,28.1,19.6,72.0,4.2,1.1,5.4,107.85
366,22.6,28.5,18.4,63.0,6.0,4.6,9.4,91.34
367,22.2,29.3,17.1,66.0,6.0,5.7,7.6,72.6
368,21.0,26.0,15.3,63.0,6.3,6.7,9.4,92.41
369,22.1,28.0,17.2,58.0,6.3,3.1,5.4,90.39
370,22.0,28.8,16.0,56.0,6.3,4.3,7.6,78.72
371,20.4,28.5,16.6,72.0,6.0,0.9,3.5,78.72
372,21.6,28.0,16.2,57.0,6.3,4.8,7.6,89.54
373,20.6,29.2,15.5,57.0,5.8,4.6,5.4,107.29
375,22.2,28.4,16.6,53.0,7.7,0.9,5.4,93.04
376,22.1,28.9,17.8,58.0,5.1,1.1,7.6,92.28
377,22.2,29.0,18.4,62.0,6.0,3.9,5.4,84.21
378,20.4,27.2,15.2,52.0,6.3,4.1,7.6,101.85
379,20.1,27.2,14.8,50.0,6.9,6.5,7.6,93.43
380,21.2,26.6,15.5,59.0,6.3,6.7,9.4,93.42
381,23.4,30.6,17.6,48.0,6.3,4.1,5.4,151.16
382,23.3,31.0,16.3,42.0,5.8,2.8,11.1,166.69
383,22.4,30.7,16.3,49.0,6.3,3.3,7.6,146.23
384,20.7,28.7,14.3,48.0,6.9,7.2,9.4,134.99
385,20.4,28.0,14.2,45.0,6.3,4.6,7.6,164.12
386,20.9,28.5,14.3,46.0,6.3,4.1,7.6,151.63
387,22.7,29.1,17.1,48.0,6.3,2.0,5.4,178.78
388,21.9,29.8,16.2,44.0,6.3,2.6,7.6,164.26
389,21.3,29.0,16.0,53.0,6.9,4.4,11.1,194.18
390,21.4,29.2,15.0,42.0,6.9,5.2,9.4,161.72
391,21.9,29.6,13.2,26.0,6.9,3.1,7.6,157.07
392,22.6,30.4,15.9,30.0,8.5,5.4,9.4,150.8
393,21.7,30.1,15.8,32.0,6.9,6.3,11.1,153.43
394,23.3,32.3,20.2,67.0,6.3,3.0,5.4,141.28
395,23.3,30.0,19.2,54.0,6.9,2.4,5.4,133.01
396,24.4,30.2,19.7,61.0,6.9,1.5,5.4,138.71
397,23.5,30.2,18.5,49.0,6.3,5.0,11.1,1.57
398,23.3,29.9,17.9,58.0,6.9,5.6,7.6,1.57
399,23.4,30.7,17.4,60.0,6.3,5.7,7.6,1.57
400,24.3,32.1,16.8,34.0,6.3,5.0,9.4,1.57
